item,ubicacion,item_descripcion,en_cajas,sueltos,total,inventario_actual,diferencia
11482,Almacen - T,DEKSEL DOOS PLASTIC 4x4 WIT,0,86,86,12104,-12018
7081,Deposit N3 - A2,ADER EINDHULS 2X4mm TE4012,6,0,6,11980,-11974
11482,Deposit N3 - D4,DEKSEL DOOS PLASTIC 4x4 WIT,180,0,180,12104,-11924
0349,Deposit N3 - D8,ZADELS 14 mm VERT,2000,0,2000,13579,-11579
0571,Almacen - H,CONEX STEEKKLEM 5-VOUDIG,825,48,873,12351,-11478
11482,Deposit N2 - B6,DEKSEL DOOS PLASTIC 4x4 WIT,800,0,800,12104,-11304
0367,Almacen - A,CABLE CLIPS  10  mm,0,50,50,10050,-10000
11481,Almacen - T,INB.DOOS PLASTIC 4x4 WIT,0,29,29,9767,-9738
11481,Almacen - S,INB.DOOS PLASTIC 4x4 WIT,100,0,100,9767,-9667
11481,Deposit N2 - B6,INB.DOOS PLASTIC 4x4 WIT,250,46,296,9767,-9471
7082,Deposit N3 - A2,ADER EINDHULS 2X6mm TE6014,9500,0,9500,18526,-9026
7084,Deposit N3 - A2,ADER EINDHULS 2X16mm TE1614,100,0,100,9025,-8925
0368,Almacen - A,CABLE CLIPS  11  mm,0,46,46,8740,-8694
0320,Almacen - D,"BUISBEVESTIGING 5/8""POLFIX",0,1058,1058,9703,-8645
7076,Deposit N3 - A2,ADER EINDHULS 25mm E2516,33,0,33,7011,-6978
0560,Almacen - G,"MOER PG 13,5",0,800,800,6793,-5993
7083,Deposit N3 - A2,ADER EINDHULS 2X10mm TE1014,22,0,22,5840,-5818
0389,Almacen - N,TYRAPS BRN 390 X 4.8,7000,0,7000,12700,-5700
0344,Almacen - R,"ZADELS 4x5/8""",0,171,171,5764,-5593
0575,Deposit N3 - C7,LASDOPPEN 3.0-12.5 mm,0,100,100,5480,-5380
0575,Almacen - H,LASDOPPEN 3.0-12.5 mm,300,24,324,5480,-5156
7070,Deposit N3 - A2,ADER EINDHULS 1.5mm E1508,0,29,29,4700,-4671
0411,Almacen - O,PERSKABELSCHOEN  6  mm  M6,100,29,129,4501,-4372
0368,Deposit N4 - D6,CABLE CLIPS  11  mm,0,4500,4500,8740,-4240
0549,Almacen - D,PG+MOER M25,0,27,27,4091,-4064
1152,Almacen - T,"DEKSEL INB DOOS AM 4x4"" 4150",0,41,41,3919,-3878
0424,Almacen - O,VERBINDINGSBUS  2.5 mm,0,43,43,3766,-3723
0349,Deposit N4 - B4,ZADELS 14 mm VERT,10000,0,10000,13579,-3579
0343,Almacen - R,"ZADELS 3x5/8""",0,127,127,3602,-3475
0365,Deposit N4 - D10,CABLE CLIPS   8  mm,0,18000,18000,21402,-3402
0577,Almacen - G,LASDOPPEN 12-24 mm,0,156,156,3476,-3320
1151,Almacen - T,"INB DOOS AM 4x4""",0,11,11,3276,-3265
0577,Deposit N3 - C7,LASDOPPEN 12-24 mm,0,220,220,3476,-3256
0549,Deposit N4 - A5,PG+MOER M25,840,0,840,4091,-3251
0332,Almacen - S,CADDY KAB-CLIPS 2- 4mm 19-24,200,33,233,3433,-3200
0335,Almacen - S,CADDY KAB-CLIPS 8-12mm 15-18,0,6,6,3206,-3200
0353,Almacen - R,ZADELS ROOD 25mm (1duim),0,122,122,3283,-3161
0427,Almacen - O,VERBINDINGSBUS 10 mm,0,537,537,3431,-2894
1375,Deposit N3 - C4,"RAWPLUGS  WIT   (5x25mm-1"")",0,120,120,3009,-2889
1375,Almacen - H,"RAWPLUGS  WIT   (5x25mm-1"")",145,15,160,3009,-2849
1150,Almacen - T,"INB DOOS AM 2x4""",0,39,39,2879,-2840
0334,Almacen - S,CADDY KAB-CLIPS 4 -7mm 19-24,200,99,299,3095,-2796
1376,Deposit N3 - C8,"RAWPLUGS ROOD (6X25mm-1"")",24,0,24,2744,-2720
1376,Deposit N3 - C4,"RAWPLUGS ROOD (6X25mm-1"")",0,96,96,2744,-2648
0428,Almacen - O,VERBINDINGSBUS 16 mm,0,49,49,2663,-2614
0320,Deposit N3 - D11,"BUISBEVESTIGING 5/8""POLFIX",7200,0,7200,9703,-2503
0549,Deposit N4 - A9,PG+MOER M25,1600,0,1600,4091,-2491
0549,Deposit N4 - B12,PG+MOER M25,1600,0,1600,4091,-2491
0550,Deposit N4 - A1,"PG 13,5 + MOER",1550,0,1550,4013,-2463
0373,Almacen - A,CABLE CLIPS   11 - 15  mm,0,0,0,2450,-2450
0437,Almacen - O,PERSKABELSCHOEN  16  mm  M6,0,257,257,2695,-2438
0247,Deposit N4 - E4,VMvL H05 V V-F 2x1.5   mm,0,4,4,2432,-2428
1376,Almacen - H,"RAWPLUGS ROOD (6X25mm-1"")",320,14,334,2744,-2410
9079,Almacen - D,PLL36W840 PL LAMP 2G11,0,3,3,2412,-2409
0426,Almacen - O,VERBINDINGSBUS  6 mm,0,76,76,2479,-2403
0435,Almacen - O,PERSKABELSCHOEN  10  mm  M8,200,7,207,2603,-2396
0576,Deposit N3 - C7,LASDOPPEN 7.5-18.0 mm,0,80,80,2468,-2388
0576,Almacen - H,LASDOPPEN 7.5-18.0 mm,90,0,90,2468,-2378
0332,Deposit N3 - C7,CADDY KAB-CLIPS 2- 4mm 19-24,1100,0,1100,3433,-2333
0321,Almacen - D,"BUISBEVESTIGING 3/4""POLFIX",0,772,772,3082,-2310
0336,Almacen - S,CADDY KAB-CLIPS 8-12mm 19-24,200,32,232,2531,-2299
0428,Deposit N4 - B2,VERBINDINGSBUS 16 mm,400,0,400,2663,-2263
0425,Almacen - O,VERBINDINGSBUS  4 mm,0,4,4,2200,-2196
0340,Deposit N3 - D7,"ZADELS 5/8"" - 15-16mm gemenied",23000,0,23000,25119,-2119
0335,Deposit N3 - C7,CADDY KAB-CLIPS 8-12mm 15-18,1100,0,1100,3206,-2106
0560,Deposit N4 - A1,"MOER PG 13,5",4700,0,4700,6793,-2093
0550,Deposit N4 - B12,"PG 13,5 + MOER",2000,0,2000,4013,-2013
0409,Almacen - O,PERSKABELSCHOEN 2.5 mm  M6,0,93,93,2092,-1999
0333,Almacen - S,CADDY KAB-CLIPS 4 -7mm 15-18,100,12,112,2100,-1988
0429,Almacen - O,VERBINDINGSBUS 25 mm,0,70,70,2036,-1966
3291,Almacen - D,STARTER 4-65W S10,0,10,10,1924,-1914
1154,Almacen - T,INB D CARLON 2X4 PLASTIC,0,22,22,1903,-1881
1154,Deposit N3 - D5,INB D CARLON 2X4 PLASTIC,100,0,100,1903,-1803
3292,Deposit N3 - A2,STARTERHOUDER PLAT     125-6,0,0,0,1799,-1799
11491,Almacen - T,Cover INB.D PLAST 4X4  1G A410,0,5,5,1802,-1797
0413,Almacen - O,PERSKABELSCHOEN 16  mm  M8,0,63,63,1848,-1785
3491,Almacen - L,ETI 3901055 BRIDGING MP 166/4,0,10,10,1648,-1638
1320,Deposit N3 - E,AARDDRAAD BC  6 mm2,0,3,3,1630,-1627
3530,Almacen - S,New3584500RJ45 8wireCat5e-6PL,0,52,52,1664,-1612
0408,Deposit N3 - A2,KABEL EINDHULS 2x4mm ISOLEERT,12,0,12,1600,-1588
0342,Almacen - R,"ZADELS 2x5/8""",0,178,178,1750,-1572
1377,Deposit N3 - C4,RAW PLUGS GROEN (7x35mm-1.1/2),0,64,64,1620,-1556
0344,Deposit N4 - B4,"ZADELS 4x5/8""",4250,0,4250,5764,-1514
0600,Almacen - Z,PASMOER 16A,75,10,85,1585,-1500
0436,Almacen - O,PERSKABELSCHOEN  10  mm  M10,300,41,341,1827,-1486
0321,Deposit N3 - D12,"BUISBEVESTIGING 3/4""POLFIX",1600,0,1600,3082,-1482
0312,Almacen - P,"MOFFEN   3/4""",50,47,97,1563,-1466
0548,Almacen - D,PG+MOER M20,0,5,5,1397,-1392
0615,Almacen - Z,ZEKERING 63A,20,3,23,1347,-1324
3290,Almacen - D,STARTER 4-22W,0,23,23,1322,-1299
0611,Almacen - Z,ZEKERING 20A,10,1,11,1306,-1295
1377,Almacen - H,RAW PLUGS GROEN (7x35mm-1.1/2),340,2,342,1620,-1278
0154,Deposit N4 - D15,VDS DRAAD FLEX 4mm GR/GL,0,14,14,1254,-1240
4023,Almacen - C,COV PL  EARTH SOCK USA 70843,0,5,5,1211,-1206
0506,Deposit N3 - C5,AD/16-19 AFSLUITSTOPBUIS 16-19,0,0,0,1180,-1180
1378,Deposit N3 - C4,RAWPLUGS  BLAUW (8x35mm-1.1/2),0,60,60,1230,-1170
0312,Deposit N3 - D12,"MOFFEN   3/4""",400,0,400,1563,-1163
0153,Deposit N4 - D15,VDS DRAAD FLEX 4mm BLAUW,0,8,8,1156,-1148
0511,Almacen - R,PLAFONDDOOS 97371201 GRO-2 120,0,4,4,1119,-1115
0511,Deposit N2 - D6,PLAFONDDOOS 97371201 GRO-2 120,0,23,23,1119,-1096
0511,Almacen - S,PLAFONDDOOS 97371201 GRO-2 120,0,31,31,1119,-1088
0245,Deposit N4 - E4,VMVL  H05 V V-F 2x0.75  mm,0,5,5,1075,-1070
4009,Almacen - C,EARTH SOCKET ( USA TYPE) 21143,0,26,26,1068,-1042
0506,Almacen - D,AD/16-19 AFSLUITSTOPBUIS 16-19,0,179,179,1180,-1001
1036,Almacen - U,WCD AM INB 220V R/A     1876V,30,6,36,1037,-1001
0307,Deposit N3 - E,FLEXIBELE BUIS 3/4,0,10,10,999,-989
0535,Deposit N3 - C11,GIETBOUWDOOS EURO 2x3/4 MGD50,0,1,1,990,-989
0524,Almacen - B,CENTRDOOS ROND 12X16/19/20MM,0,65,65,1039,-974
0438,Almacen - O,PERSKABELSCHOEN  16  mm  M10,0,51,51,1017,-966
4009,Deposit N1 - B8,EARTH SOCKET ( USA TYPE) 21143,120,0,120,1068,-948
3295,Deposit N4 - D16,"BEDRADINGSDRAAD  0,75mm",0,6,6,940,-934
0439,Almacen - O,PERSKABELSCHOEN  25  mm  M6,150,48,198,1116,-918
3032,Deposit N1 - B6,TAPE 10 mtr BLAUW,1,0,1,913,-912
4009,Deposit N1 - B9,EARTH SOCKET ( USA TYPE) 21143,160,0,160,1068,-908
0535,Almacen - D,GIETBOUWDOOS EURO 2x3/4 MGD50,0,92,92,990,-898
0484,Almacen - P,TOP T DOOS DUBB. R. 4210-D,20,7,27,924,-897
0614,Almacen - Z,ZEKERING 50A,45,2,47,943,-896
3033,Deposit N1 - B6,TAPE 10 mtr GR/GL,1,0,1,889,-888
0613,Almacen - Z,ZEKERING 35A,20,4,24,910,-886
1306,Deposit N3 - D7,AARDRAIL VERN 20 X 5 MM,20,0,20,903,-883
0485,Almacen - P,TOP T DOOS DUBB. L.  4211-D,0,3,3,885,-882
0414,Almacen - O,PERSKABELSCHOEN 25  mm  M8,0,45,45,912,-867
0431,Almacen - O,VERBINDINGSBUS 50 mm,0,40,40,902,-862
0524,Deposit N3 - B9,CENTRDOOS ROND 12X16/19/20MM,0,180,180,1039,-859
0430,Almacen - O,VERBINDINGSBUS 35 mm,0,49,49,899,-850
0441,Almacen - O,PERSKABELSCHOEN  25  mm  M12,17,1,18,866,-848
4009,Deposit N1 - B7,EARTH SOCKET ( USA TYPE) 21143,230,0,230,1068,-838
7163,Almacen - G,TERMOPLASTIC STEKKER 6428 WIT,0,16,16,844,-828
0354,Almacen - R,ZADELS ROOD 38mm (1½duim),0,50,50,877,-827
1151,Deposit N3 - E,"INB DOOS AM 4x4""",2450,0,2450,3276,-826
0310,Deposit N3 - E,FLEXIBELE BUIS 1DUIM,0,16,16,837,-821
4017,Almacen - C,ROCKER FOR SWITCHES 70601,0,54,54,875,-821
1304,Almacen - P,AARDRAIL VERN 12 X 3 MM,0,18,18,836,-818
3033,Almacen - S,TAPE 10 mtr GR/GL,80,0,80,889,-809
3032,Almacen - S,TAPE 10 mtr BLAUW,100,7,107,913,-806
0531,Almacen - A,UNIVERSEEL LASDOOS    3611,0,85,85,883,-798
0118,Deposit N4 - D8,VD DRAAD 25  mm  BLAUW,0,6,6,800,-794
0138,Deposit N4 - D11,VDS DRAAD FLEX 10 mm BLAUW,0,7,7,801,-794
0535,Deposit N3 - C9,GIETBOUWDOOS EURO 2x3/4 MGD50,200,0,200,990,-790
0250,Deposit N3 - E,VMvL H05 V V-F 4G2.5   mm,0,7,7,796,-789
1149,Almacen - T,"INB.DOOS PLASTIC 4x4""-CARLON",0,46,46,814,-768
1153,Almacen - T,"DEKSEL INB DOOS AM 4x4"" 2-VOUD",0,35,35,782,-747
4146,Deposit N1 - C2,COV PLATE EARTH SOCKET90631TPM,0,0,0,747,-747
0336,Deposit N3 - C7,CADDY KAB-CLIPS 8-12mm 19-24,1800,0,1800,2531,-731
4023,Deposit N1 - B8,COV PL  EARTH SOCK USA 70843,500,0,500,1211,-711
0468,Almacen - O,CP-10 PIN PERSKABELSCHOEN 10MM,0,158,158,858,-700
0117,Deposit N4 - D12,VD DRAAD 25  mm  ZWART,0,5,5,700,-695
0557,Deposit N4 - A9,PG+MOER M40,630,0,630,1318,-688
1142,Almacen - X,STEK RUB P/A 127V         1709,60,9,69,741,-672
0323,Almacen - D,"BUISBEVESTIGING 1"" POLFIX",0,74,74,730,-656
1710,Almacen - K,ETI  AUTOMAAT6KA 16A 1P+N BKAR,0,6,6,661,-655
3487,Almacen - K,ETI 3901375  EINDPLAAT VSV4,0,3,3,657,-654
4023,Deposit N1 - B7,COV PL  EARTH SOCK USA 70843,560,0,560,1211,-651
0262,Deposit N4 - B4,COAX RG6 60% 18AWG,120,0,120,765,-645
0547,Almacen - D,PG+MOER M16,0,160,160,798,-638
0319,Almacen - D,"BUISBEVESTIGING 2"" POLFIX",0,4,4,641,-637
0416,Almacen - O,PERSKABELSCHOEN 50  mm  M10,140,2,142,775,-633
4022,Deposit N1 - B7,COV PL  EARTH SOCKET 70631,0,10,10,640,-630
1710,Deposit N2 - B1,ETI  AUTOMAAT6KA 16A 1P+N BKAR,44,6,50,661,-611
0443,Almacen - O,PERSKABELSCHOEN  35  mm  M12,0,92,92,699,-607
0602,Deposit N3 - C3,PASMOER 25A,0,0,0,601,-601
0305,Deposit N3 - D11,HOSTALIT MOF 5/8 Grijs,40,0,40,640,-600
0355,Almacen - R,ZADELS ROOD 50mm (2 duim),34,70,104,704,-600
3492,Deposit N2 - D6,ETI3901360 LIN UP  VSV4 FUSE,400,12,412,1000,-588
0115,Deposit N4 - D8,VD DRAAD 16  mm  BLAUW,0,4,4,585,-581
0602,Almacen - Z,PASMOER 25A,0,22,22,601,-579
1150,Deposit N3 - C4,"INB DOOS AM 2x4""",2300,0,2300,2879,-579
3108,Almacen - Z,"TUBO LED T8, 9W 800LM 6500K",0,14,14,588,-574
1152,Deposit N3 - C4,"DEKSEL INB DOOS AM 4x4"" 4150",3350,0,3350,3919,-569
1305,Deposit N3 - D7,AARDRAIL VERN 15 X 4 MM,60,0,60,627,-567
4022,Almacen - C,COV PL  EARTH SOCKET 70631,0,82,82,640,-558
1312,Almacen - R,"AARDKLEM 1/2""",0,41,41,594,-553
0557,Deposit N4 - B12,PG+MOER M40,600,180,780,1318,-538
0427,Deposit N4 - B2,VERBINDINGSBUS 10 mm,2900,0,2900,3431,-531
0708,Almacen - E,ATEMA TUIT 2X16/19/20 U 50,0,9,9,540,-531
0331,Almacen - S,CADDY KAB-CLIPS 2 -4mm 15-18,0,45,45,553,-508
0612,Almacen - Z,ZEKERING 25A,50,2,52,559,-507
0326,Almacen - E,"POLFIX 5/8"" SLAGVAST GRIJS",0,52,52,552,-500
0469,Almacen - O,CP-16 PIN PERSKABELSCHOEN 16MM,0,37,37,537,-500
0601,Deposit N3 - C3,PASMOER 20A,0,0,0,498,-498
0334,Deposit N3 - C7,CADDY KAB-CLIPS 4 -7mm 19-24,2600,0,2600,3095,-495
0610,Almacen - Z,ZEKERING 16A,45,0,45,540,-495
0109,Deposit N4 - D12,VD DRAAD  6  mm  BLAUW,0,5,5,499,-494
02501,Deposit N4 - E4,VMvL H05 V V-F 5G2.5   mm,0,5,5,490,-485
0485,Deposit N3 - B5,TOP T DOOS DUBB. L.  4211-D,400,0,400,885,-485
7135,Almacen - D,HALOGEENLAMP 1500W,0,1,1,486,-485
1009,Almacen - W,SCHAK AM TRI DECO        7729W,60,8,68,546,-478
0501,Almacen - P,LASDOOS TOP T DOOS L DUBB3211,125,45,170,647,-477
0601,Almacen - Z,PASMOER 20A,25,6,31,498,-467
0104,Almacen - Z,VD DRAAD 2.5 mm  GR/GL,20,0,20,483,-463
1711,Almacen - K,ETI  AUTOMAAT6KA 16A 1P+N CKAR,0,11,11,462,-451
0534,Almacen - C,INBOUWDOOS DUBB WCD H140,0,14,14,464,-450
05421,Almacen - D,MT/1X 16-19MM Inzetstuk,0,142,142,592,-450
0443,Deposit N4 - B6,PERSKABELSCHOEN  35  mm  M12,200,50,250,699,-449
0103,Almacen - Z,VD DRAAD 2.5 mm  BLAUW,18,0,18,462,-444
7005,Almacen - M,JVL16 -63  40A 4P 30mA AARDLEK,0,1,1,444,-443
0542,Almacen - D,MT/2X 16-19MM Inzetstuk,0,37,37,479,-442
0102,Almacen - Z,VD DRAAD 2.5 mm  BRUIN,20,0,20,460,-440
1711,Deposit N2 - B1,ETI  AUTOMAAT6KA 16A 1P+N CKAR,22,0,22,462,-440
7163,Deposit N3 - A1,TERMOPLASTIC STEKKER 6428 WIT,405,0,405,844,-439
0306,Deposit N3 - E,FLEXIBELE BUIS 5/8,0,5,5,442,-437
0150,Deposit N4 - D11,VDS DRAAD FLEX 2.5mm BLAUW,0,3,3,436,-433
0434,Deposit N4 - B2,PERSKABELSCHOEN  6  mm  M8,2600,0,2600,3030,-430
4034,Almacen - C,4- GANG HORIZONTAL FRAME 70941,0,1,1,430,-429
0520,Almacen - A,CENTRAALD 5/8 55mm ONG 165A,0,66,66,492,-426
7019,Almacen - M,JVM16 -63  16A 2P C-TYPE AUTOM,0,1,1,422,-421
0481,Almacen - Q,MIDDENDOOS DUBBEL 4207-D,0,40,40,460,-420
3263,Deposit N3 - E,PICKENS 6W LED BULB 6500 K,0,98,98,507,-409
4001,Almacen - B,TWO POLE SWITCH 21021,0,5,5,412,-407
4028,Almacen - B,BLIND COVER PLATE 70677,0,3,3,408,-405
3036,Deposit N1 - B6,TAPE 25 mtr BLAUW,0,11,11,412,-401
0131,Deposit N4 - D15,VDS DRAAD FLEX  1.5 mm BLAUW,0,1,1,401,-400
0580,Almacen - H,KROONKLEMSTROOK 2.5-4 mm2,0,9,9,409,-400
0480,Almacen - Q,T-DOOS              4206-D,0,46,46,445,-399
0518,Almacen - D,CENTRAALDOOS ROND 80MM C80,0,3,3,402,-399
0706,Almacen - A,ATT EINDOOS 2033,0,35,35,433,-398
7017,Almacen - M,JVM19 -63  16A 2P B-TYPE AUTOM,24,2,26,423,-397
0437,Deposit N4 - B2,PERSKABELSCHOEN  16  mm  M6,2300,0,2300,2695,-395
0535,Deposit N3 - C5,GIETBOUWDOOS EURO 2x3/4 MGD50,600,0,600,990,-390
0545,Almacen - S,SPARINGSKEGEL 3550 16MM,40,0,40,429,-389
1242,Deposit N3 - A2,VERLOOP STEKKER PEN RO 686,4,0,4,393,-389
0346,Deposit N3 - D7,ZADELS 11- 12 mm VERT,13500,0,13500,13887,-387
0149,Deposit N4 - D11,VDS DRAAD FLEX 2.5mm ZWART,0,3,3,389,-386
0485,Deposit N3 - B1,TOP T DOOS DUBB. L.  4211-D,500,0,500,885,-385
0513,Almacen - B,INBOUWDS HOLLEWAND 16/19,0,47,47,431,-384
0540,Almacen - A,INZ.STK KABELDOOS3640 19mm3529,0,79,79,460,-381
1321,Deposit N3 - E,AARDDRAAD BC 10 mm2,0,1,1,381,-380
0142,Deposit N4 - D15,VDS DRAAD FLEX 25 mm ZWART,0,3,3,376,-373
4033,Almacen - C,TRIPLE HORIZONTAL FRAME 70931,0,8,8,379,-371
7010,Almacen - M,JVM16 -32  16A 1P+N B-TYPE AUT,0,6,6,376,-370
0483,Deposit N3 - C5,TOPDOOS DUBB LINKS   4209-D,0,0,0,369,-369
4112,Deposit N1 - C3,DOUBLE HORIZONTAL FRAME 90920,410,0,410,777,-367
3253,Deposit N1 - B1,TL- BUIS  32W DL T8,11,0,11,372,-361
0101,Almacen - Z,VD DRAAD 1.5 mm  ZWART,22,0,22,382,-360
0147,Deposit N4 - D4,VDS DRAAD FLEX 35 mm GR/GL,0,1,1,359,-358
0137,Deposit N4 - D11,VDS DRAAD FLEX 10 mm ZWART,0,2,2,358,-356
0700,Almacen - A,ATT UNIVERSELE LASDOOS 1619,0,39,39,394,-355
0367,Deposit N4 - D6,CABLE CLIPS  10  mm,0,9700,9700,10050,-350
0452,Almacen - O,PERSKABELSCHOEN  95  mm  M8,60,15,75,424,-349
3036,Almacen - S,TAPE 25 mtr BLAUW,60,3,63,412,-349
0140,Deposit N4 - D11,VDS DRAAD FLEX 16 mm BLAUW,0,3,3,351,-348
0132,Deposit N4 - D11,VDS DRAAD FLEX  1.5 mm GR/GL,0,4,4,348,-344
0532,Deposit N3 - D10,BLINDDEKSEL (uni lasdoos) 3535,400,0,400,736,-336
3253,Almacen - Z,TL- BUIS  32W DL T8,0,37,37,372,-335
0490,Almacen - P,TREKDOOS                4202-D,50,3,53,387,-334
0495,Deposit N3 - C5,EINDDOOS                4201-D,0,0,0,332,-332
0605,Deposit N3 - C3,PASMOER 63A,0,0,0,331,-331
0605,Almacen - Z,PASMOER 63A,0,1,1,331,-330
7173,Deposit N3 - A1,TERMOPLASTIC ZIJK STEKKER 6566,15,0,15,344,-329
0107,Deposit N4 - D16,VD DRAAD  4  mm  GL/GR,0,2,2,330,-328
7173,Almacen - G,TERMOPLASTIC ZIJK STEKKER 6566,0,16,16,344,-328
4026,Almacen - C,COVER RING WITH DOUBLE 70442,0,15,15,340,-325
0495,Almacen - P,EINDDOOS                4201-D,0,10,10,332,-322
0533,Almacen - Q,MONTAGEDKSL (uni lasdoos) 3543,0,9,9,329,-320
1322,Deposit N3 - E,AARDDRAAD BC 16 mm2,0,1,1,321,-320
0305,Almacen - D,HOSTALIT MOF 5/8 Grijs,0,324,324,640,-316
4041,Almacen - B,TWO CIRCUITS SWITCH 37061 OPB,0,24,24,340,-316
1882,Deposit N4 - E4,OFC-4000 OREJA FIJACION  CAJA,0,39,39,354,-315
7134,Almacen - D,HALOGEENLAMP 1000W,0,9,9,321,-312
7164,Almacen - G,TERMOPLASTIC CONTRA 6707B WIT,0,6,6,313,-307
0444,Almacen - O,PERSKABELSCHOEN  50  mm  M12,0,4,4,309,-305
1769,Almacen - K,ETI  AUTOMAAT6KA B40 1P B KAR,12,0,12,317,-305
0483,Almacen - Q,TOPDOOS DUBB LINKS   4209-D,0,65,65,369,-304
1148,Deposit N3 - E,"INB.DOOS PLASTIC 2x4""GEEL",1200,0,1200,1503,-303
4000,Almacen - B,SINGEL POLE SWITCH 21011,0,7,7,308,-301
0502,Almacen - P,LASDOOS TOP T  R DUBB 3210,125,44,169,469,-300
0521,Almacen - C,CENTRAALD 5/8 55mm GEL 165B,0,55,55,355,-300
0548,Deposit N4 - A5,PG+MOER M20,1100,0,1100,1397,-297
3268,Almacen - O,PICKENS 5W LED BULB 6500K,0,1,1,297,-296
0583,Almacen - H,KROONKLEMSTROOK  16 mm2,0,8,8,303,-295
1310,Almacen - R,"AARDKLEM 1/4""",0,39,39,333,-294
7165,Deposit N3 - A1,TERMOPLASTIC CONTRA 6707CN,31,0,31,325,-294
0526,Deposit N3 - D12,MONTAGEDEKSEL+WCD3611W1,40,0,40,329,-289
1769,Deposit N2 - B1,ETI  AUTOMAAT6KA B40 1P B KAR,28,0,28,317,-289
4113,Deposit N1 - C2,TRIPLE HORIZONTAL FRAME 90930,19,0,19,307,-288
0146,Deposit N4 - D16,VDS DRAAD FLEX 35 mm BLAUW,0,2,2,289,-287
0155,Deposit N4 - D11,VDS DRAAD FLEX 2.5mm ROOD,0,3,3,290,-287
0490,Deposit N3 - C10,TREKDOOS                4202-D,100,0,100,387,-287
4011,Almacen - B,RJ 45 CAT 6 UTP  SOCKET 21455,0,12,12,298,-286
0707,Almacen - E,ATEMA U 50 INBDOOS 16-19-20MM,0,13,13,298,-285
4031,Almacen - C,SINGLE FRAME 70910,0,2,2,286,-284
0486,Almacen - Q,KABELDOOS 220A,0,4,4,286,-282
7164,Deposit N3 - A1,TERMOPLASTIC CONTRA 6707B WIT,31,0,31,313,-282
0527,Almacen - A,MONTAGEDEKSEL+WCD3611W2,0,5,5,286,-281
0556,Almacen - D,PG+MOER M32,0,16,16,295,-279
0111,Deposit N4 - D8,VD DRAAD 10  mm  ZWART,0,1,1,279,-278
1120,Almacen - W,WALLPLATE AM ENK RP 2131V,150,19,169,444,-275
1335,Almacen - S,KOPPELING LEH-34,0,10,10,284,-274
4034,Deposit N1 - B8,4- GANG HORIZONTAL FRAME 70941,158,0,158,430,-272
1030,Almacen - U,WCD AM OPB DUB R/A         78W,400,7,407,676,-269
1024,Almacen - U,WCD AM INB DUB  R/A       270W,30,3,33,301,-268
1242,Almacen - H,VERLOOP STEKKER PEN RO 686,0,125,125,393,-268
0558,Almacen - E,PG+MOER M50,0,3,3,270,-267
0110,Deposit N4 - D12,VD DRAAD  6  mm  GR/GL,0,3,3,269,-266
4042,Almacen - B,TWO-WAY SWITCH 37071 OPB,0,19,19,282,-263
0500,Almacen - C,DUBB INBOUWDOOS H251 ABB,0,16,16,278,-262
0559,Almacen - E,PG+MOER M63,0,2,2,264,-262
0481,Deposit N3 - B1,MIDDENDOOS DUBBEL 4207-D,200,0,200,460,-260
4024,Almacen - C,COV PL SCHUK SOCKET IP44 70634,0,7,7,264,-257
